gene,window_size,n_total,n_plp,n_blb,auroc,auprc,mean_delta_plp,mean_delta_blb,std_delta_plp,std_delta_blb,separation,star_stratification
BRCA1,4096,2676,813,1863,0.9702420212607923,0.9515039741527823,-0.007591770730481963,-0.00036765255085959974,0.006535701405577676,0.0009381500435251315,0.007224118179622364,"{'>=_1_star': {'auroc': 0.9702420212607923, 'n_plp': 813, 'n_blb': 1863}, '>=_2_star': {'auroc': 0.9702420212607923, 'n_plp': 813, 'n_blb': 1863}, '>=_3_star': {'auroc': 0.9669803659724978, 'n_plp': 538, 'n_blb': 1030}}"
BRCA1,8192,2676,813,1863,0.987934919606845,0.9726550556955196,-0.004556565560391321,-0.00019604124436759847,0.0036614085074421817,0.0004996226802650989,0.004360524316023723,"{'>=_1_star': {'auroc': 0.987934919606845, 'n_plp': 813, 'n_blb': 1863}, '>=_2_star': {'auroc': 0.987934919606845, 'n_plp': 813, 'n_blb': 1863}, '>=_3_star': {'auroc': 0.9840112606922439, 'n_plp': 538, 'n_blb': 1030}}"
BRCA1,16384,2676,813,1863,0.9847364254640938,0.9678643098832702,-0.0023444983352154383,-0.00010192183096819646,0.001870157739847234,0.00026858087796602923,0.0022425765042472416,"{'>=_1_star': {'auroc': 0.9847364254640938, 'n_plp': 813, 'n_blb': 1863}, '>=_2_star': {'auroc': 0.9847364254640938, 'n_plp': 813, 'n_blb': 1863}, '>=_3_star': {'auroc': 0.9808685530732306, 'n_plp': 538, 'n_blb': 1030}}"
BRCA1,32768,2676,813,1863,0.9838358689545028,0.9700173075146454,-0.001268642708237614,-5.3699817698422904e-05,0.0009679015193107282,0.0001366006728426278,0.001214942890539191,"{'>=_1_star': {'auroc': 0.9838358689545028, 'n_plp': 813, 'n_blb': 1863}, '>=_2_star': {'auroc': 0.9838358689545028, 'n_plp': 813, 'n_blb': 1863}, '>=_3_star': {'auroc': 0.9793698343378929, 'n_plp': 538, 'n_blb': 1030}}"
TP53,4096,839,315,524,0.9898945837877136,0.9820259582768052,-0.008148553257896787,-0.0005133419318963553,0.005482145024065512,0.0008898263519493766,0.007635211326000431,"{'>=_1_star': {'auroc': 0.9898945837877136, 'n_plp': 315, 'n_blb': 524}, '>=_2_star': {'auroc': 0.9898945837877136, 'n_plp': 315, 'n_blb': 524}, '>=_3_star': {'auroc': 0.9204055220017255, 'n_plp': 61, 'n_blb': 76}}"
TP53,8192,839,315,524,0.9887343996122622,0.9794355213918384,-0.004495941268073188,-0.00028528864602096206,0.0028734579713534606,0.0005148806792119689,0.004210652622052225,"{'>=_1_star': {'auroc': 0.9887343996122622, 'n_plp': 315, 'n_blb': 524}, '>=_2_star': {'auroc': 0.9887343996122622, 'n_plp': 315, 'n_blb': 524}, '>=_3_star': {'auroc': 0.905090595340811, 'n_plp': 61, 'n_blb': 76}}"
TP53,16384,839,315,524,0.9839391736338301,0.9721407083490927,-0.0022534448003012036,-0.0001536873915723262,0.0015206962412362076,0.0002628296590656496,0.0020997574087288774,"{'>=_1_star': {'auroc': 0.9839391736338301, 'n_plp': 315, 'n_blb': 524}, '>=_2_star': {'auroc': 0.9839391736338301, 'n_plp': 315, 'n_blb': 524}, '>=_3_star': {'auroc': 0.8779119930974979, 'n_plp': 61, 'n_blb': 76}}"
TP53,32768,839,315,524,0.9817642069550467,0.9698986777534391,-0.0011186781383696056,-8.014356362000677e-05,0.0007567362626884411,0.00013311104112071948,0.0010385345747495989,"{'>=_1_star': {'auroc': 0.9817642069550467, 'n_plp': 315, 'n_blb': 524}, '>=_2_star': {'auroc': 0.9817642069550467, 'n_plp': 315, 'n_blb': 524}, '>=_3_star': {'auroc': 0.8669111302847283, 'n_plp': 61, 'n_blb': 76}}"
CHEK2,4096,689,204,485,0.9996361431170406,0.9990748411873016,-0.010946816089106541,-0.0004568565752088409,0.00549792937030666,0.0006066885249164331,0.0104899595138977,"{'>=_1_star': {'auroc': 0.9996361431170406, 'n_plp': 204, 'n_blb': 485}, '>=_2_star': {'auroc': 0.9996361431170406, 'n_plp': 204, 'n_blb': 485}}"
CHEK2,8192,689,204,485,0.9996462502526784,0.9990897400665222,-0.005695831249741947,-0.00024072460292540876,0.0027524946164953065,0.0003055164747023241,0.005455106646816538,"{'>=_1_star': {'auroc': 0.9996462502526784, 'n_plp': 204, 'n_blb': 485}, '>=_2_star': {'auroc': 0.9996462502526784, 'n_plp': 204, 'n_blb': 485}}"
CHEK2,16384,689,204,485,0.9999292500505357,0.9998301134166914,-0.003288653843543109,-0.00012250757708991925,0.0015148702146974625,0.00013622891679351335,0.0031661462664531897,"{'>=_1_star': {'auroc': 0.9999292500505357, 'n_plp': 204, 'n_blb': 485}, '>=_2_star': {'auroc': 0.9999292500505357, 'n_plp': 204, 'n_blb': 485}}"
CHEK2,32768,689,204,485,0.9998989286436224,0.9997554629853247,-0.001660167878749324,-6.270113679551587e-05,0.0008040041294183336,6.977873810659319e-05,0.001597466741953808,"{'>=_1_star': {'auroc': 0.9998989286436224, 'n_plp': 204, 'n_blb': 485}, '>=_2_star': {'auroc': 0.9998989286436224, 'n_plp': 204, 'n_blb': 485}}"
